Open,High,Low,Close*,Volume(T)
8409.03,8471.96,7712.45,8089.48,64.371
8098.54,8290.0,7861.02,8190.62,33.915
8192.33,8343.0,7861.02,8202.98,22.032
8226.66,8343.0,7902.96,8063.36,19.461
8054.49,8393.23,7655.0,8288.78,37.011
8289.79,8540.0,8195.42,8307.48,35.829
8333.96,8375.0,8168.85,8366.16,21.2
8407.12,8419.95,8059.22,8254.98,33.83
8202.17,8235.86,7986.65,8174.89,27.336
8150.91,8200.0,8020.2,8138.99,11.459
8160.02,8181.6,7870.35,8009.28,13.8
7859.61,8316.2,7762.35,8217.5,34.566
8228.92,8348.0,8107.26,8208.11,15.16
8188.68,8712.45,8107.26,8600.0,35.858
8610.28,8666.84,8450.61,8585.0,21.764
8585.08,8826.0,8226.0,8258.48,29.452
8585.08,8826.0,8226.0,8258.48,29.452
8286.82,8427.76,8260.37,8324.26,7.368
8296.57,8474.48,8132.91,8294.85,14.359
8261.62,8416.67,8215.41,8349.78,12.48
8374.1,8420.85,8085.65,8166.79,19.203
8153.23,8179.1,7908.86,8004.82,22.877
7993.49,8124.42,7937.01,8069.94,13.835
8068.82,8124.42,7811.62,7954.15,19.524
7954.85,8104.7,7873.46,7945.25,12.185
7962.89,8309.0,7874.68,8221.45,17.624
8233.0,8352.0,8156.0,8215.43,24.659
8204.83,8325.0,7998.9,8030.82,17.724
8007.85,8114.39,7275.24,7447.76,47.558
7474.54,8049.0,7296.44,7439.14,19.045
7429.02,8800.1,7359.48,8654.55,63.379
8683.72,10540.49,8642.46,9257.33,121.344
9264.77,10540.49,8645.01,9561.96,49.848
9593.67,9950.0,9180.59,9209.01,42.356
9231.64,9575.0,9051.48,9434.77,31.156
9430.65,9435.3,8775.22,9179.7,23.704
9170.0,9459.7,8943.0,9162.0,21.629
9140.01,9303.53,9054.6,9242.2,19.877
9271.12,9396.91,9201.19,9288.85,10.865
9309.38,9393.0,9068.3,9208.14,10.13
9217.65,9600.0,9122.33,9413.4,19.472
9410.12,9600.0,9127.0,9342.92,18.365
9322.89,9450.0,9253.66,9345.78,15.86
9345.01,9450.0,9075.0,9204.01,14.244
9196.1,9246.0,8660.0,8775.51,15.3
8755.25,8873.48,8712.52,8817.66,9.288
8804.76,9150.0,8712.52,9032.21,12.91
9036.09,9150.0,8590.0,8715.94,19.006
8721.54,9067.34,8556.56,8798.03,16.168
8798.24,8870.0,8556.56,8760.73,10.859
8760.22,8814.83,8555.0,8635.0,13.484
8635.0,8799.03,8361.0,8454.65,23.401
8461.17,8539.53,8423.0,8480.41,6.564
8481.35,8637.01,8363.5,8503.27,9.211
8493.97,8583.0,8015.0,8180.22,29.045
8168.85,8503.0,7980.07,8113.4,17.634
8123.64,8317.51,7980.07,8074.09,13.256
8076.41,8235.0,7374.5,7614.15,44.372
7616.0,8114.97,6775.47,7298.64,73.609
7280.95,7891.16,7102.16,7330.14,18.982
7322.97,7361.41,6910.6,6944.86,23.026
6871.18,7379.99,6515.0,7117.04,62.737
7129.27,7379.99,6526.0,7165.33,27.575
7157.87,7678.76,6850.0,7524.99,48.093
7536.2,7660.82,7370.62,7445.01,20.141
7429.36,7870.1,7412.4,7747.08,26.55
7738.67,7820.0,7453.0,7552.47,17.618
7554.47,7820.0,7228.8,7410.01,21.514
7403.24,7431.07,7140.08,7322.92,17.149
7314.08,7430.0,7157.33,7307.51,14.898
7290.04,7800.6,7068.2,7212.96,35.249
7177.15,7489.87,7150.06,7395.01,21.789
7393.55,7611.3,7152.78,7534.19,19.808
7543.46,7643.0,7305.75,7505.0,10.137
7503.93,7643.0,7382.69,7526.2,9.424
7519.99,7666.0,7256.7,7337.8,32.59
7324.25,7451.69,7156.03,7227.1,16.97
7324.25,7451.69,7156.03,7227.1,16.97
7220.01,7423.32,7124.45,7196.7,14.055
7242.22,7294.9,7072.2,7194.84,18.056
7195.19,7300.0,7179.65,7248.1,13.917
7246.96,7299.21,7008.03,7068.36,10.777
7065.01,7264.33,7006.01,7121.01,10.166
7124.45,7147.91,6803.24,6885.65,28.414
6877.06,6938.77,6556.0,6618.16,39.12
6611.56,7489.5,6410.0,7278.5,4057877.677
7279.0,7489.5,6410.0,7140.07,2205822.705
7153.0,7222.5,7073.66,7180.5,1271229.249
7186.94,7208.65,7099.57,7143.05,604559.734
7143.77,7495.0,7099.57,7484.0,1714551.327
7571.5,7697.0,7264.0,7336.0,2720986.125
7320.0,7697.0,7151.08,7228.0,1754279.199
7256.0,7416.5,7115.5,7191.4,121821.884
7192.11,7570.0,7115.5,7200.0,16.061
7194.12,7432.1,6934.8,7235.05,19.136
7242.97,7350.0,7053.32,7306.01,9.935
7294.96,7531.0,7274.43,7386.59,13.241
7390.38,7531.0,7199.0,7218.02,16.467
7216.4,7302.35,7111.0,7167.49,22.153
7156.01,7238.14,7136.05,7173.45,7.795
7166.96,7186.65,6903.0,6945.07,615826.694
6945.02,7412.0,6853.53,7320.0,452.677
7337.66,7399.0,7258.5,7348.5,173.091
7348.5,7494.0,7258.5,7339.81,217.931
7350.5,7799.0,7310.0,7772.5,334.336
7782.5,8210.5,7723.0,8210.0,552.748
8167.0,8469.39,7740.5,8061.0,644.045
8010.5,8029.34,7740.5,7823.0,356.055
7817.0,8140.0,7671.0,8139.0,498.009
8195.0,8295.0,7682.0,8012.5,301.186
8023.5,8295.0,7963.25,8162.5,196.249
8187.5,8187.5,8033.5,8122.0,185.607
8121.0,8900.0,8101.83,8849.0,706.654
8770.0,8916.5,8550.0,8798.5,142.128
8816.0,8916.5,8578.0,8715.02,302.118
8735.0,9021.0,8665.67,8910.5,280.674
8880.5,8984.0,8810.0,8934.0,211.782
8922.0,9168.0,8459.6,8683.36,0.205
8668.47,8897.1,8504.06,8634.65,21.587
8622.98,8984.0,8333.0,8735.0,15.374
8725.48,8796.5,8465.0,8646.45,162.584
8663.5,8664.0,8278.0,8397.5,133.503
8400.1,8515.0,8216.71,8425.0,260.001
8427.94,8466.02,8251.0,8342.48,187.132
8331.0,8594.0,8251.0,8581.5,227.607
